Iteration	Posterior	Likelihood	Prior	a
0	-0.9470569	0	-0.9470569	0.9470569
10	-1.212546	0	-1.212546	1.212546
20	-0.8221484	0	-0.8221484	0.8221484
30	-0.4883744	0	-0.4883744	0.4883744
40	-2.092743	0	-2.092743	2.092743
50	-3.015696	0	-3.015696	3.015696
60	-1.014079	0	-1.014079	1.014079
70	-1.016031	0	-1.016031	1.016031
80	-0.4242919	0	-0.4242919	0.4242919
90	-0.5318704	0	-0.5318704	0.5318704
100	-0.2509254	0	-0.2509254	0.2509254
110	-0.1707092	0	-0.1707092	0.1707092
120	-0.1655832	0	-0.1655832	0.1655832
130	-0.1620961	0	-0.1620961	0.1620961
140	-0.13879	0	-0.13879	0.13879
150	-0.2124266	0	-0.2124266	0.2124266
160	-0.2884321	0	-0.2884321	0.2884321
170	-0.1709604	0	-0.1709604	0.1709604
180	-0.1099736	0	-0.1099736	0.1099736
190	-0.1596008	0	-0.1596008	0.1596008
200	-0.4747931	0	-0.4747931	0.4747931
210	-3.681733	0	-3.681733	3.681733
220	-0.9832066	0	-0.9832066	0.9832066
230	-1.252668	0	-1.252668	1.252668
240	-0.9620963	0	-0.9620963	0.9620963
250	-1.110694	0	-1.110694	1.110694
260	-0.4828246	0	-0.4828246	0.4828246
270	-1.476637	0	-1.476637	1.476637
280	-0.7048928	0	-0.7048928	0.7048928
290	-0.6077943	0	-0.6077943	0.6077943
300	-0.4708854	0	-0.4708854	0.4708854
310	-0.4589988	0	-0.4589988	0.4589988
320	-0.6159179	0	-0.6159179	0.6159179
330	-0.6348227	0	-0.6348227	0.6348227
340	-0.4576426	0	-0.4576426	0.4576426
350	-0.1385855	0	-0.1385855	0.1385855
360	-0.2363597	0	-0.2363597	0.2363597
370	-0.2311406	0	-0.2311406	0.2311406
380	-0.1640349	0	-0.1640349	0.1640349
390	-0.1885787	0	-0.1885787	0.1885787
400	-0.1716889	0	-0.1716889	0.1716889
410	-0.544539	0	-0.544539	0.544539
420	-0.4148242	0	-0.4148242	0.4148242
430	-0.5306773	0	-0.5306773	0.5306773
440	-1.257965	0	-1.257965	1.257965
450	-3.195609	0	-3.195609	3.195609
460	-0.0842048	0	-0.0842048	0.0842048
470	-0.02683695	0	-0.02683695	0.02683695
480	-0.1098973	0	-0.1098973	0.1098973
490	-0.07915222	0	-0.07915222	0.07915222
500	-0.2080965	0	-0.2080965	0.2080965
510	-0.4516402	0	-0.4516402	0.4516402
520	-1.126177	0	-1.126177	1.126177
530	-2.513277	0	-2.513277	2.513277
540	-1.153921	0	-1.153921	1.153921
550	-1.620125	0	-1.620125	1.620125
560	-0.4193881	0	-0.4193881	0.4193881
570	-0.5848216	0	-0.5848216	0.5848216
580	-0.5461469	0	-0.5461469	0.5461469
590	-3.99438	0	-3.99438	3.99438
600	-0.9850532	0	-0.9850532	0.9850532
610	-1.893783	0	-1.893783	1.893783
620	-4.648065	0	-4.648065	4.648065
630	-2.168921	0	-2.168921	2.168921
640	-1.385558	0	-1.385558	1.385558
650	-0.9762213	0	-0.9762213	0.9762213
660	-0.3695611	0	-0.3695611	0.3695611
670	-0.2395305	0	-0.2395305	0.2395305
680	-0.2444078	0	-0.2444078	0.2444078
690	-0.6248731	0	-0.6248731	0.6248731
700	-0.2565202	0	-0.2565202	0.2565202
710	-0.6464171	0	-0.6464171	0.6464171
720	-0.6141854	0	-0.6141854	0.6141854
730	-0.6268107	0	-0.6268107	0.6268107
740	-0.4300433	0	-0.4300433	0.4300433
750	-0.7708954	0	-0.7708954	0.7708954
760	-1.004821	0	-1.004821	1.004821
770	-0.6757152	0	-0.6757152	0.6757152
780	-0.6559115	0	-0.6559115	0.6559115
790	-1.281163	0	-1.281163	1.281163
800	-0.7173791	0	-0.7173791	0.7173791
810	-0.2679284	0	-0.2679284	0.2679284
820	-1.009562	0	-1.009562	1.009562
830	-0.8755957	0	-0.8755957	0.8755957
840	-2.043555	0	-2.043555	2.043555
850	-0.7208568	0	-0.7208568	0.7208568
860	-0.4786982	0	-0.4786982	0.4786982
870	-0.1521206	0	-0.1521206	0.1521206
880	-0.08667679	0	-0.08667679	0.08667679
890	-0.3496929	0	-0.3496929	0.3496929
900	-0.9615686	0	-0.9615686	0.9615686
910	-0.4087074	0	-0.4087074	0.4087074
920	-0.1927779	0	-0.1927779	0.1927779
930	-0.7564271	0	-0.7564271	0.7564271
940	-0.2785558	0	-0.2785558	0.2785558
950	-0.3643581	0	-0.3643581	0.3643581
960	-0.4660859	0	-0.4660859	0.4660859
970	-0.3151226	0	-0.3151226	0.3151226
980	-0.6230639	0	-0.6230639	0.6230639
990	-1.480685	0	-1.480685	1.480685
1000	-1.893864	0	-1.893864	1.893864
1010	-1.978093	0	-1.978093	1.978093
1020	-1.844876	0	-1.844876	1.844876
1030	-2.911765	0	-2.911765	2.911765
1040	-1.022435	0	-1.022435	1.022435
1050	-0.6704571	0	-0.6704571	0.6704571
1060	-1.395679	0	-1.395679	1.395679
1070	-2.554702	0	-2.554702	2.554702
1080	-1.644102	0	-1.644102	1.644102
1090	-0.9659477	0	-0.9659477	0.9659477
1100	-0.6123238	0	-0.6123238	0.6123238
1110	-1.799935	0	-1.799935	1.799935
1120	-2.808176	0	-2.808176	2.808176
1130	-0.9100194	0	-0.9100194	0.9100194
1140	-0.3570385	0	-0.3570385	0.3570385
1150	-0.3827743	0	-0.3827743	0.3827743
1160	-0.2511589	0	-0.2511589	0.2511589
1170	-0.288694	0	-0.288694	0.288694
1180	-0.934566	0	-0.934566	0.934566
1190	-0.9120312	0	-0.9120312	0.9120312
1200	-1.176275	0	-1.176275	1.176275
1210	-2.216669	0	-2.216669	2.216669
1220	-0.8569416	0	-0.8569416	0.8569416
1230	-0.7948834	0	-0.7948834	0.7948834
1240	-1.601253	0	-1.601253	1.601253
1250	-0.4986717	0	-0.4986717	0.4986717
1260	-0.6507263	0	-0.6507263	0.6507263
1270	-1.933561	0	-1.933561	1.933561
1280	-0.7581693	0	-0.7581693	0.7581693
1290	-1.025616	0	-1.025616	1.025616
1300	-2.512451	0	-2.512451	2.512451
1310	-2.846226	0	-2.846226	2.846226
1320	-1.942456	0	-1.942456	1.942456
1330	-0.539711	0	-0.539711	0.539711
1340	-0.6522003	0	-0.6522003	0.6522003
1350	-0.9017571	0	-0.9017571	0.9017571
1360	-0.269558	0	-0.269558	0.269558
1370	-0.349576	0	-0.349576	0.349576
1380	-1.250032	0	-1.250032	1.250032
1390	-1.867628	0	-1.867628	1.867628
1400	-1.318363	0	-1.318363	1.318363
1410	-0.6334132	0	-0.6334132	0.6334132
1420	-0.2953032	0	-0.2953032	0.2953032
1430	-0.09674937	0	-0.09674937	0.09674937
1440	-0.06067733	0	-0.06067733	0.06067733
1450	-0.1238055	0	-0.1238055	0.1238055
1460	-0.1674576	0	-0.1674576	0.1674576
1470	-0.3964194	0	-0.3964194	0.3964194
1480	-0.2725592	0	-0.2725592	0.2725592
1490	-0.2806664	0	-0.2806664	0.2806664
1500	-0.1977119	0	-0.1977119	0.1977119
1510	-0.2483312	0	-0.2483312	0.2483312
1520	-2.303978	0	-2.303978	2.303978
1530	-1.90528	0	-1.90528	1.90528
1540	-2.016478	0	-2.016478	2.016478
1550	-2.345925	0	-2.345925	2.345925
1560	-2.106471	0	-2.106471	2.106471
1570	-1.484809	0	-1.484809	1.484809
1580	-0.662236	0	-0.662236	0.662236
1590	-0.4074453	0	-0.4074453	0.4074453
1600	-0.1263044	0	-0.1263044	0.1263044
1610	-0.03659018	0	-0.03659018	0.03659018
1620	-0.1050309	0	-0.1050309	0.1050309
1630	-0.2460417	0	-0.2460417	0.2460417
1640	-0.5668921	0	-0.5668921	0.5668921
1650	-0.3644972	0	-0.3644972	0.3644972
1660	-2.016857	0	-2.016857	2.016857
1670	-0.8547766	0	-0.8547766	0.8547766
1680	-1.220719	0	-1.220719	1.220719
1690	-1.515807	0	-1.515807	1.515807
1700	-1.398131	0	-1.398131	1.398131
1710	-1.316042	0	-1.316042	1.316042
1720	-0.8777565	0	-0.8777565	0.8777565
1730	-0.7508526	0	-0.7508526	0.7508526
1740	-0.3940275	0	-0.3940275	0.3940275
1750	-0.9515602	0	-0.9515602	0.9515602
1760	-1.432404	0	-1.432404	1.432404
1770	-1.337163	0	-1.337163	1.337163
1780	-1.486751	0	-1.486751	1.486751
1790	-0.4434781	0	-0.4434781	0.4434781
1800	-0.1661234	0	-0.1661234	0.1661234
1810	-0.9846282	0	-0.9846282	0.9846282
1820	-0.5122318	0	-0.5122318	0.5122318
1830	-0.6296346	0	-0.6296346	0.6296346
1840	-0.6485776	0	-0.6485776	0.6485776
1850	-3.863014	0	-3.863014	3.863014
1860	-1.879489	0	-1.879489	1.879489
1870	-2.116468	0	-2.116468	2.116468
1880	-2.870125	0	-2.870125	2.870125
1890	-2.961864	0	-2.961864	2.961864
1900	-1.806794	0	-1.806794	1.806794
1910	-1.884202	0	-1.884202	1.884202
1920	-1.1033	0	-1.1033	1.1033
1930	-0.2606996	0	-0.2606996	0.2606996
1940	-0.666308	0	-0.666308	0.666308
1950	-0.806101	0	-0.806101	0.806101
1960	-2.637921	0	-2.637921	2.637921
1970	-2.387084	0	-2.387084	2.387084
1980	-2.518013	0	-2.518013	2.518013
1990	-1.179066	0	-1.179066	1.179066
2000	-0.7265608	0	-0.7265608	0.7265608
2010	-0.7986925	0	-0.7986925	0.7986925
2020	-0.3831908	0	-0.3831908	0.3831908
2030	-0.06316153	0	-0.06316153	0.06316153
2040	-0.1011584	0	-0.1011584	0.1011584
2050	-0.1129271	0	-0.1129271	0.1129271
2060	-0.9011094	0	-0.9011094	0.9011094
2070	-0.6686451	0	-0.6686451	0.6686451
2080	-0.373828	0	-0.373828	0.373828
2090	-1.040933	0	-1.040933	1.040933
2100	-3.365164	0	-3.365164	3.365164
2110	-3.006866	0	-3.006866	3.006866
2120	-4.099794	0	-4.099794	4.099794
2130	-1.826342	0	-1.826342	1.826342
2140	-0.6166499	0	-0.6166499	0.6166499
2150	-0.8847862	0	-0.8847862	0.8847862
2160	-2.188589	0	-2.188589	2.188589
