Iteration	Posterior	Likelihood	Prior	a
0	-0.3745611	0	-0.3745611	0.3745611
10	-0.1273904	0	-0.1273904	0.1273904
20	-0.1474613	0	-0.1474613	0.1474613
30	-0.1126657	0	-0.1126657	0.1126657
40	-0.1175275	0	-0.1175275	0.1175275
50	-0.2137514	0	-0.2137514	0.2137514
60	-1.31773	0	-1.31773	1.31773
70	-0.04409892	0	-0.04409892	0.04409892
80	-1.012062	0	-1.012062	1.012062
90	-0.5574305	0	-0.5574305	0.5574305
100	-0.3816113	0	-0.3816113	0.3816113
110	-0.0806452	0	-0.0806452	0.0806452
120	-0.0460984	0	-0.0460984	0.0460984
130	-0.1317046	0	-0.1317046	0.1317046
140	-0.2422278	0	-0.2422278	0.2422278
150	-0.452336	0	-0.452336	0.452336
160	-1.9595	0	-1.9595	1.9595
170	-3.411581	0	-3.411581	3.411581
180	-2.503532	0	-2.503532	2.503532
190	-2.252783	0	-2.252783	2.252783
200	-0.6275769	0	-0.6275769	0.6275769
210	-2.961492	0	-2.961492	2.961492
220	-2.550172	0	-2.550172	2.550172
230	-1.822115	0	-1.822115	1.822115
240	-1.368451	0	-1.368451	1.368451
250	-1.847541	0	-1.847541	1.847541
260	-1.523162	0	-1.523162	1.523162
270	-0.3597375	0	-0.3597375	0.3597375
280	-1.645055	0	-1.645055	1.645055
290	-1.655554	0	-1.655554	1.655554
300	-1.379296	0	-1.379296	1.379296
310	-0.8027065	0	-0.8027065	0.8027065
320	-1.043439	0	-1.043439	1.043439
330	-1.211256	0	-1.211256	1.211256
340	-0.7408154	0	-0.7408154	0.7408154
350	-0.3368338	0	-0.3368338	0.3368338
360	-0.4156949	0	-0.4156949	0.4156949
370	-0.4348142	0	-0.4348142	0.4348142
380	-0.7323732	0	-0.7323732	0.7323732
390	-2.023764	0	-2.023764	2.023764
400	-1.385948	0	-1.385948	1.385948
410	-0.397994	0	-0.397994	0.397994
420	-0.08612183	0	-0.08612183	0.08612183
430	-0.06702897	0	-0.06702897	0.06702897
440	-0.1451694	0	-0.1451694	0.1451694
450	-0.1113047	0	-0.1113047	0.1113047
460	-0.09651724	0	-0.09651724	0.09651724
470	-0.04979851	0	-0.04979851	0.04979851
480	-0.1086412	0	-0.1086412	0.1086412
490	-0.2202175	0	-0.2202175	0.2202175
500	-0.7040395	0	-0.7040395	0.7040395
510	-0.6314363	0	-0.6314363	0.6314363
520	-4.545225	0	-4.545225	4.545225
530	-1.887981	0	-1.887981	1.887981
540	-0.7284564	0	-0.7284564	0.7284564
550	-1.537803	0	-1.537803	1.537803
560	-3.698108	0	-3.698108	3.698108
570	-2.735845	0	-2.735845	2.735845
580	-1.213872	0	-1.213872	1.213872
590	-1.370944	0	-1.370944	1.370944
600	-1.616503	0	-1.616503	1.616503
610	-0.8699201	0	-0.8699201	0.8699201
620	-0.5446535	0	-0.5446535	0.5446535
630	-1.669142	0	-1.669142	1.669142
640	-1.28586	0	-1.28586	1.28586
650	-0.3345753	0	-0.3345753	0.3345753
660	-0.3889652	0	-0.3889652	0.3889652
670	-0.1276429	0	-0.1276429	0.1276429
680	-0.752772	0	-0.752772	0.752772
690	-0.7830045	0	-0.7830045	0.7830045
700	-1.2559	0	-1.2559	1.2559
710	-1.068444	0	-1.068444	1.068444
720	-1.415979	0	-1.415979	1.415979
730	-1.879665	0	-1.879665	1.879665
740	-3.473291	0	-3.473291	3.473291
750	-4.263926	0	-4.263926	4.263926
760	-1.111845	0	-1.111845	1.111845
770	-0.3466696	0	-0.3466696	0.3466696
780	-0.2255896	0	-0.2255896	0.2255896
790	-0.6221648	0	-0.6221648	0.6221648
800	-0.8878188	0	-0.8878188	0.8878188
810	-0.8000373	0	-0.8000373	0.8000373
820	-0.2472999	0	-0.2472999	0.2472999
830	-0.2803353	0	-0.2803353	0.2803353
840	-0.6906816	0	-0.6906816	0.6906816
850	-0.4382323	0	-0.4382323	0.4382323
860	-0.2957166	0	-0.2957166	0.2957166
870	-0.271745	0	-0.271745	0.271745
880	-1.968114	0	-1.968114	1.968114
890	-3.548133	0	-3.548133	3.548133
900	-1.801252	0	-1.801252	1.801252
910	-1.901781	0	-1.901781	1.901781
920	-1.653127	0	-1.653127	1.653127
930	-1.413453	0	-1.413453	1.413453
940	-2.883563	0	-2.883563	2.883563
950	-0.723698	0	-0.723698	0.723698
